seed,crate,solo,closest_pinch_m,fine_kernel,peak_lift_m,held_lift_m,in_pinch_frac,fell,run,arm,crew,iteration,vision
0,0,0,0.07715005176622584,0.4331175019062904,0.052640412645611534,0.0415572159920736,0.745,1,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
1,0,0,0.08315052070707715,0.40014477143099647,0.049728453830516245,0.04741595088948708,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
2,0,0,0.07626618468484206,0.43813696357703813,0.046056025329689915,0.04085380998229993,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
3,0,0,0.08325632360005937,0.39958063469187755,0.06064951360944326,0.057208799674210636,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
4,0,0,0.07920834605232582,0.42159030329688196,0.04328155179001089,0.04328155179001089,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
5,0,0,0.08757904926756399,0.3770414740434903,0.058896447423131965,0.030317527470737238,0.205,1,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
6,0,0,0.08295314808431553,0.4011987500549803,0.034588694477353105,0.034459085378913956,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
7,0,0,0.09168867548028206,0.35653063284781206,0.05750121776242065,0.05701416048407815,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,2,3999,0
0,0,0,0.07715005176619183,0.4331175019064828,0.052635209023435325,0.04194350859198501,0.745,1,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
0,1,1,0.23371640623215365,0.03986486107556242,0.05733800771430453,0.0494820276046781,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
1,0,0,0.08314887950024145,0.4001535269816626,0.04968628515523621,0.04740229861684475,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
1,1,1,0.2980990400919116,0.013813610264209575,0.057134493490132415,0.05671702957233671,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
2,0,0,0.07626618468483996,0.4381369635770501,0.04605603978866285,0.04080068251553545,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
2,1,1,0.24656154145827533,0.03230617741717767,0.05679023670867825,0.05180903428437533,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
3,0,0,0.08325632360006313,0.39958063469185756,0.06064951360943652,0.057208800482998756,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
3,1,1,0.24315778933104895,0.034159654927845895,0.05630183699109012,0.05142722843991507,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
4,0,0,0.07920842515648799,0.4215898646366366,0.04328174381078309,0.04328174381078309,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
4,1,1,0.23736148801995133,0.03755924158610413,0.056795440955447724,0.05071892939254366,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
5,0,0,0.08757999225027539,0.3770366654628369,0.05469199983990719,0.02684689571192378,0.205,1,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
5,1,1,0.2547260189083965,0.028254168095036114,0.056667813048639354,0.05291514715682322,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
6,0,0,0.08295897955336339,0.40116757995886465,0.03451181336630246,0.0343819456978636,0.97,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
6,1,1,0.26840389024341205,0.022559593161769254,0.05732893459491703,0.056357072339453834,0.0,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
7,0,0,0.09158758192111793,0.3570245295104154,0.057504488709002294,0.057025773088319104,0.965,0,2026-08-21_15-46-55_coop-cube-staged-r2-s0,15-46-55_coop-cube-staged-r2-s0,3,3999,0
